date,agency_name,value,source
2013-10-01,San Francisco Municipal Railway,12069643,NTD
2013-10-01,Bay Area Rapid Transit,10007386,NTD
2013-11-01,San Francisco Municipal Railway,11082505,NTD
2013-11-01,Bay Area Rapid Transit,10100407,NTD
2013-12-01,San Francisco Municipal Railway,11729338,NTD
2013-12-01,Bay Area Rapid Transit,10196072,NTD
2014-01-01,San Francisco Municipal Railway,12221057,NTD
2014-01-01,Bay Area Rapid Transit,10275255,NTD
2014-02-01,Bay Area Rapid Transit,9708516,NTD
2014-02-01,San Francisco Municipal Railway,11503708,NTD
2014-03-01,San Francisco Municipal Railway,12540553,NTD
2014-03-01,Bay Area Rapid Transit,10834065,NTD
2014-04-01,Bay Area Rapid Transit,10993908,NTD
2014-04-01,San Francisco Municipal Railway,13744495,NTD
2014-05-01,San Francisco Municipal Railway,13762349,NTD
2014-05-01,Bay Area Rapid Transit,11184320,NTD
2014-06-01,San Francisco Municipal Railway,12921399,NTD
2014-06-01,Bay Area Rapid Transit,11145026,NTD
2014-07-01,Bay Area Rapid Transit,11529147,NTD
2014-07-01,San Francisco Municipal Railway,13066140,NTD
2014-08-01,San Francisco Municipal Railway,13203662,NTD
2014-08-01,Bay Area Rapid Transit,11455046,NTD
2014-09-01,San Francisco Municipal Railway,12661573,NTD
2014-09-01,Bay Area Rapid Transit,11467457,NTD
2014-10-01,San Francisco Municipal Railway,13035044,NTD
2014-10-01,Bay Area Rapid Transit,12556439,NTD
2014-11-01,San Francisco Municipal Railway,11432045,NTD
2014-11-01,Bay Area Rapid Transit,10338527,NTD
2014-12-01,San Francisco Municipal Railway,11379279,NTD
2014-12-01,Bay Area Rapid Transit,10688033,NTD
2015-01-01,Bay Area Rapid Transit,10565314,NTD
2015-01-01,San Francisco Municipal Railway,11442938,NTD
2015-02-01,San Francisco Municipal Railway,10671940,NTD
2015-02-01,Bay Area Rapid Transit,10136239,NTD
2015-03-01,Bay Area Rapid Transit,11563999,NTD
2015-03-01,San Francisco Municipal Railway,12181036,NTD
2015-04-01,Bay Area Rapid Transit,11468925,NTD
2015-04-01,San Francisco Municipal Railway,11642821,NTD
2015-05-01,Bay Area Rapid Transit,11041447,NTD
2015-05-01,San Francisco Municipal Railway,11775033,NTD
2015-06-01,San Francisco Municipal Railway,11589896,NTD
2015-06-01,Bay Area Rapid Transit,11849485,NTD
2015-07-01,Bay Area Rapid Transit,11731661,NTD
2015-07-01,San Francisco Municipal Railway,13476442,NTD
2015-08-01,Bay Area Rapid Transit,11342101,NTD
2015-08-01,San Francisco Municipal Railway,14018099,NTD
2015-09-01,San Francisco Municipal Railway,13490561,NTD
2015-09-01,Bay Area Rapid Transit,11449941,NTD
2015-10-01,San Francisco Municipal Railway,13709809,NTD
2015-10-01,Bay Area Rapid Transit,12202108,NTD
2015-11-01,Bay Area Rapid Transit,10720752,NTD
2015-11-01,San Francisco Municipal Railway,12052045,NTD
2015-12-01,Bay Area Rapid Transit,10915123,NTD
2015-12-01,San Francisco Municipal Railway,11949161,NTD
2016-01-01,Bay Area Rapid Transit,10648753,NTD
2016-01-01,San Francisco Municipal Railway,11754560,NTD
2016-02-01,San Francisco Municipal Railway,12279061,NTD
2016-02-01,Bay Area Rapid Transit,11457041,NTD
2016-03-01,Bay Area Rapid Transit,11744295,NTD
2016-03-01,San Francisco Municipal Railway,12760249,NTD
2016-04-01,Bay Area Rapid Transit,11254160,NTD
2016-04-01,San Francisco Municipal Railway,12285885,NTD
2016-05-01,San Francisco Municipal Railway,13316236,NTD
2016-05-01,Bay Area Rapid Transit,11432356,NTD
2016-06-01,Bay Area Rapid Transit,11728830,NTD
2016-06-01,San Francisco Municipal Railway,12879413,NTD
2016-07-01,Bay Area Rapid Transit,10944760,NTD
2016-07-01,San Francisco Municipal Railway,12995399,NTD
2016-08-01,Bay Area Rapid Transit,11762450,NTD
2016-08-01,San Francisco Municipal Railway,14217420,NTD
2016-09-01,Bay Area Rapid Transit,11311307,NTD
2016-09-01,San Francisco Municipal Railway,13599781,NTD
2016-10-01,San Francisco Municipal Railway,13792201,NTD
